"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order","slider_start"
"5059","<h1 class=""title"">Consent Form</h1> </header> <p><img src=""gatechlogo.png"" height=""60"" /> <img src=""LabLogo_BlackandWhite.png"" height=""60"" /></p> <p>Thank you for your interest in our research study. This research will help us better understand how musical <em>chord progressions</em> work in popular and classical music. This study is intended for people familiar with Western classical music, jazz, or modern popular music from the USA, China, Japan, or Korea. If you feel like you are not really familiar with any of these musical genres, this study is probably not right for you.</p> <p>The study should take approximately 20&ndash;30 minutes to complete. Your participation in this study is always voluntary and you may discontinue your participation at any time.</p> <h4 id=""ethics"">Ethics:</h4> <p>This study has been reviewed by the Georgia Tech Institutional Review Board, and has been identified as 鈥楳inimal risk research鈥� (Ethics ID #H22176). The risks of participating in this study are no greater than any casual music listening or other normal daily activities.</p> <h4 id=""confidentiality"">Confidentiality:</h4> <p>We will comply with any applicable laws and regulations regarding confidentiality. Your responses to the study questions will be entirely anonymous and confidential. No personal data will be gathered from you, and your identity will never be associated with your data, published, or disclosed in any way.</p> <p>To make sure that this research is being carried out in the proper way, the Georgia Institute of Technology IRB may review study records. The Office of Human Research Protections may also look at study records. Your anonymous responses may also be shared with other scientists for use in other research.</p> <h4 id=""compensation"">Compensation:</h4> <p>You will not directly benefit from or be compensated for participating in this study.</p> <h4 id=""contacts-and-questions"">Contacts and Questions:</h4> <p>For questions, concerns, or complaints about the study, you may contact the Principal Investigator, Dr.聽Nathaniel Condit-Schultz at: natcs[at]gatech.edu or by telephone (404)-904-1112. If you have any questions about your rights as a research subject, you may contact Ms.聽Melanie Clark, Georgia Institute of Technology at (404)-894-6942.</p> <hr /> <p>Only adults (18 years or older) are eligible to participate in this study. <strong>By clicking below and completing the study you are agreeing to participate.</strong> You do <em>not</em> waive any of your legal rights by agreeing to participate.</p>","0","html-button-response","0","5078","0.0-0.0","",""
"12361","","{""part_age"":""Male""}","survey-html-form","1","17443","0.0-1.0","",""
"8518","","{""WesternGenres"":[""Classical""],""ChineseGenres"":[""Pop""],""JapaneseGenres"":[],""KoreanGenres"":[],""IndianGenres"":[]}","survey-multi-select","2","25972","0.0-2.0","[0,1,2,3,4]",""
"9954","","{""Instrument"":""0"",""ChordalInstrument"":""No"",""MusicTheory"":""0"",""ChordTheory"":""False""}","survey-multi-choice","3","35932","0.0-3.0","[0,1,2,3]",""
"2134","<h1>Instructions</h1> <p>In this experiment you will listen to 40 pairs of chord progressions. Each ""chord progression"" is a sequence of four, five, or six musical chords, played at a regular pace. In each trial, you will hear a <em>first</em> chord progression played twice, followed by a short pause, followed by a <em>second</em> chord progression played twice:</p> <p><img src=""Diagram.svg"" style=""width:800px;"" /></p> <p>In some cases, the first and second chord progressions will be very similar, or even exactly the same. In other cases, they might be very different. Your goal is to judge how similar <em>you</em> think they sound, and tell us using the slider. There are no ""right answer""&mdash;we want to know <em>your</em> intuitive judgements!</p> <p>If you think the two chord progressions sound exactly the same, set the slider to the far left position. If you think they sound really dramatically different, you could set the slider towards the far right. We encourage you to <em>not</em> base your judgements entirely on counting how many chords are the same or different in the progressions&mdash;rather, think about the overall musicality of the progressions and ask yourself ""how similar would music using these two progressions feel?"".</p> <p>Once you've set the slider, click the ""Continue"" button to move on. After you click ""Continue,"" there will be a short pause, then the next pair of progressions will play.</p> <p>Please do not navigate away or refresh the page, as you will have to start over from scratch.</p>","0","html-button-response","4","38071","0.0-4.0","",""
"22592","audio//part4_pair7.wav","71","audio-slider-response","5","62502","0.0-5.0-0.0","","50"
"21469","audio//part3_pair4.wav","58","audio-slider-response","6","85155","0.0-5.0-0.1","","50"
"19672","audio//part1_pair3.wav","76","audio-slider-response","7","107861","0.0-5.0-0.2","","50"
"26400","audio//part4_pair4.wav","41","audio-slider-response","8","135970","0.0-5.0-0.3","","50"
"20069","audio//part2_pair6.wav","59","audio-slider-response","9","157793","0.0-5.0-0.4","","50"
"17411","audio//part2_pair4.wav","80","audio-slider-response","10","177650","0.0-5.0-0.5","","50"
"22128","audio//part1_pair1.wav","63","audio-slider-response","11","200958","0.0-5.0-0.6","","50"
"16568","audio//part2_pair7.wav","35","audio-slider-response","12","218590","0.0-5.0-0.7","","50"
"19909","audio//part3_pair5.wav","28","audio-slider-response","13","240129","0.0-5.0-0.8","","50"
"17109","audio//part4_pair9.wav","61","audio-slider-response","14","258693","0.0-5.0-0.9","","50"
"18448","audio//part3_pair6.wav","22","audio-slider-response","15","278753","0.0-5.0-0.10","","50"
"24331","audio//part1_pair5.wav","48","audio-slider-response","16","305785","0.0-5.0-0.11","","50"
"18731","audio//part0_pair1.wav","0","audio-slider-response","17","328223","0.0-5.0-0.12","","50"
"22651","audio//part3_pair1.wav","31","audio-slider-response","18","352495","0.0-5.0-0.13","","50"
"24160","audio//part1_pair2.wav","4","audio-slider-response","19","378310","0.0-5.0-0.14","","50"
"17040","audio//part4_pair6.wav","74","audio-slider-response","20","396820","0.0-5.0-0.15","","50"
"17848","audio//part0_pair4.wav","75","audio-slider-response","21","415919","0.0-5.0-0.16","","50"
"16069","audio//part4_pair1.wav","71","audio-slider-response","22","433375","0.0-5.0-0.17","","50"
"22640","audio//part3_pair3.wav","74","audio-slider-response","23","457161","0.0-5.0-0.18","","50"
"22240","audio//part2_pair12.wav","43","audio-slider-response","24","481134","0.0-5.0-0.19","","50"
"22400","audio//part0_pair3.wav","3","audio-slider-response","25","504461","0.0-5.0-0.20","","50"
"16059","audio//part4_pair5.wav","86","audio-slider-response","26","521647","0.0-5.0-0.21","","50"
"19669","audio//part4_pair2.wav","42","audio-slider-response","27","543217","0.0-5.0-0.22","","50"
"27949","audio//part2_pair13.wav","33","audio-slider-response","28","572328","0.0-5.0-0.23","","50"
"34000","audio//part2_pair2.wav","61","audio-slider-response","29","607862","0.0-5.0-0.24","","50"
"16128","audio//part0_pair2.wav","0","audio-slider-response","30","625396","0.0-5.0-0.25","","50"
"16131","audio//part4_pair3.wav","59","audio-slider-response","31","642467","0.0-5.0-0.26","","50"
"21299","audio//part2_pair11.wav","58","audio-slider-response","32","664589","0.0-5.0-0.27","","50"
